Release Year,Distributor,Genre, Domestic Sales (in $) , International Sales (in $) , World Sales (in $) 
2016,Twentieth Century Fox,"['Action', 'Adventure', 'Sci-Fi']",155442489,388491616,543934105
2010,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",251513985,291600000,543113985
2015,Walt Disney Studios Motion Pictures,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']",201151353,341206978,542358331
2013,Paramount Pictures,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",202807711,337648165,540455876
2012,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",237283207,301700000,538983207
1980,Twentieth Century Fox,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",292753960,190685234,538375067
2007,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy']",183135014,353279279,536414293
2015,Twentieth Century Fox,"['Action', 'Adventure', 'Drama', 'History', 'Western']",183637894,349312609,532950503
2018,Warner Bros.,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",145443742,384994536,530438278
2018,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",201091711,328232251,529323962
2018,Sony Pictures Entertainment (SPE),"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",167510016,361073758,528583774
2017,Warner Bros.,"['Action', 'Drama', 'History', 'Thriller', 'War']",189740665,337275642,527016307
2014,Warner Bros.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",200676069,324300000,524976069
2019,Universal Pictures,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",160799505,363589578,524389083
2009,Warner Bros.,"['Action', 'Adventure', 'Mystery']",209028679,315000000,524028679
2004,Universal Pictures,"['Comedy', 'Romance']",279261160,243396776,522657936
2008,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",223808164,297503726,521311890
2016,Twentieth Century Fox,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",143528619,377642206,521170825
1991,TriStar Pictures,"['Action', 'Sci-Fi']",205881154,312106698,520881154
2015,Walt Disney Studios Motion Pictures,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",180202163,339109802,519311965
2018,Universal Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",271094731,241474088,512568819
1990,Paramount Pictures,"['Drama', 'Fantasy', 'Romance', 'Thriller']",217631306,288072251,505703557
1992,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",217350219,286700000,504050219
2014,Twentieth Century Fox,"['Adventure', 'Animation', 'Comedy', 'Family', 'Music', 'Musical']",131538435,367242682,498781117
2004,Warner Bros.,"['Drama', 'History']",133378256,364031596,497409852
1999,Walt Disney Studios Motion Pictures,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",245852179,251523202,497375381
2010,DreamWorks,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",217581231,277298240,494879471
1996,Warner Bros.,"['Action', 'Adventure', 'Thriller']",241721524,252750000,494471524
